Datetime,disp
2017/1/1,0
2017/2/1,0.31331
2017/3/1,0.61283
2017/4/1,0.88458
2017/5/1,1.0947
2017/6/1,1.1807
2017/7/1,1.0655
2017/8/1,0.7022
2017/9/1,0.1146
2017/10/1,-1.4012
2017/11/1,-2.3388
2017/12/1,-8.19
2018/1/1,-8.9751
2018/2/1,-9.4194
2018/3/1,-9.5322
2018/4/1,-9.184
2018/5/1,-8.183
2018/6/1,-6.4281
2018/7/1,-1.4688
2018/8/1,0.95455
2018/9/1,2.9704
2018/10/1,6.0857
2018/11/1,6.2872
2018/12/1,5.6604
2019/1/1,4.6785
2019/2/1,3.1512
2019/3/1,1.1176
2019/4/1,-1.25
2019/5/1,-3.6946
2019/6/1,-5.9954
2019/7/1,-8.0796
2019/8/1,-10.029
2019/9/1,-13.975
2019/10/1,-16.104
2019/11/1,-18.606
2019/12/1,-19.654
2020/1/1,-27.448
2020/2/1,-46.23
2020/3/1,-59.658
2020/4/1,-75.698
2020/5/1,-94.739
2020/6/1,-117.46
2020/7/1,-144.14
2020/8/1,-202.03
2020/9/1,-226.61
2020/10/1,-245.68
2020/11/1,-259.59
2020/12/1,-269.46
2021/1/1,-276.66
2021/2/1,-282.73
2021/3/1,-289.37
2021/4/1,-298.02
2021/5/1,-309.5
2021/6/1,-323.7
2021/7/1,-339.72
2021/8/1,-356.35
2021/9/1,-372.58
2021/10/1,-387.88
2021/11/1,-402.1
2021/12/1,-415.04
2022/1/1,-434.81
2022/2/1,
2022/3/1,
2022/4/1,
